Pernah tak? Nak tidur. Tapi rasa penat sangat sampai nak tidur pun tak boleh 🙂,0
Terima kasih yg bertanya. Aaa i am okay. I am okay. I will always remind myself that i am okay 🥰,2
"@ardlhmd Awak yg baik, terima kasih sayang❤️",2
@RasEzat93 @eqwanroslan Ya Allah berkali dah ws tp asyik tanya je pastu tak order sbb dia kena pre order. Nak nak nak,0
Takpelah. After jogging maybe akan rasa better balik 😀,2
Aku bosan. Aku lemah. Aku putus asa.,0
Rasa nak give up. On everything.,0
"Sedih ya bila dah beli stock, dah packing tinggal nak post je tetiba customer minta refund. Padahal dah beli stock.\n\nTakpe anggap kekurangan tu datang dari diri sendiri. Lepas ni rezeki datang lagi 😊 https://t.co/sCAjGzeRkJ",0
@Ashsukamakan Sedapnyaaaa,2
@Ketengahketepi Waaaa nak beli lah,2
Perfume lelaki sebenarnya banyak yg sedap. Tapi selalunya perempuan tak pandai pilih sbb takut nnti pilihan dia tak sesuai dgn taste partner dia.\n\nSo lelaki suka perempuan belikan korang perfume atau prefer beli sendiri je?,1
"Montblanc Legend is one of the best perfume for men yg I pernah bau. The scent is Subtle but striking and masculine. Sesuai for self-confident men who are courages, passionate &amp; authentic. https://t.co/br3xgNDT1F",2
@AusMeshi @DelinaMeliora Ni sedap 😍😍😍,2
"Duit, bunga, al-Quran, gelang, tudung... Kalau kumpul dah mcm boleh buat hantaran kahwin dah 😂 https://t.co/LiO5RFtCXg",2
Going to restock &amp; collecting orders now ❤️,2
@aliaffauzi Yeayy 🥰❤️,2
@AmiraAlwani777 RM55 awak ❤️ nak beli boleh ws saya yea,1
"Stock perfume Flonerch yg I beli hari tu, dah habis :)",1
@ShuhadahAzman Kat mana niii adah?,1
"Pepagi ni doa yg baik-baik je. Semoga kita, dan semua orang yg kita sayang sentiasa berada dlm rahmat &amp; kasih sayang Allah. Semoga Allah selalu mendorong &amp; buka hati kita utk berbuat kebaikan, dan mempermudahkan urusan. InsyaAllah, apa yg kita usahakan kita akan dapat. Amin ✨",2
"Nah Lagi Tips kulit cantik. Hihihi. \n\nDan paling penting… kalau makeup / pakai sunscreen, double cleanse! https://t.co/mkRG1ibGpY",2
@nawrah__ Cantiknya pink pink😘😍,2
@sofearozaidi_ 😂😂😂😂,2
@kakjua Jom sama sama kita 😂,2
@joonieyouuuu Ahahahaa GOOD,2
@fatinxfatihah Beli kat manaaa,1
"Nak cantik pergi bersenam, tapi kalau nak wangi cari I 😆\n\nBranded &amp; local perfume here! All authentic in vials, mini &amp; fullsize 😘 https://t.co/mYENLzxUoP",2
"Dulu masa I konsisten gym, mmg selain dari kulit cantik, rahang pun v-shape habis. Sbb apa? Bersenam, pastu cut gula. Minum waktu tertentu je. Best gila. Then pergi zumba, dancing lah apa lah. I miss my previous life. Dah kahwin susah sikit. Taktau la apa yg busy 😂",2
@bysuehaina Betholll!!,1
@dyradyre 😂😂😂 must be,2
Bandingkan harga I dgn harga luar. \n\nEros NIB S*PHORA RM465 \n\nNah tester EDP RM359! Ada 12 pcs je in stock skrg. Pembeli pasti buat pilihan yg bijak 😀👍🏻 https://t.co/qp3bjW9eLA,1
Pernah tak? Orang lain bahagia. Kau lagi bahagia tengok dia bahagia 😍🥰,2
"I paling malas-malas pun i makesure badan i menguit dlm sehari tu. Buat la apa-apa pun melompat ke menari ke. Asalkan jantung bekerja, pam adrenalin ke seluruh tubuh. Best!",2
"Kalau nak cara murah la. Tak keluar banyak utk skincare. Dah bersenam, peluh dah keluar, peredaran darah pun lancar. Minum air ikut keperluan badan. Kulit auto glow ✨",2
"Nak kulit cantik natural cara mudah : bersenam. YES, bersenam, berpeluh. Then, jaga pemakanan. Not too oily not too spicy… Skincare tu jatuh no berapa dah.",2
@thehayaaemaan Kannnn!,2
@notsyafbutsyaff Kannnn! Boleh je perempuan pakai 😆,2
@lfcasyraff @AusMeshi Nope! Kalau perempuan lasak yg suka bau bold sikit dari kebiasaan mmg boleh pakai. I already jumpa few customer perempuan yg pakai eros 🙂,2
"Tanya, terus beli. Mudah 👍🏻😍😂 https://t.co/ds4Chz9Bx4",2
Imagine these bag available for installment.\n\n3x or 6x up to you. First payment dah boleh pakai! \n\nWant it? 😍 https://t.co/LcuSnNyWgR,2
"@AusMeshi For me, Versace Eros. Dari segi harga mampu milik, lasting, bau… pastu unisex boleh pakai! https://t.co/9WVgsuceuE",2
@AjikkOccii Alhamdulilah. Masih milik diri ni:),2
"Dah jumpa ya Allah. Sesungguhnya doa barang hilang tu mmg powerful. Masih rezeki aku, Alhamdulillah 🥹😍 https://t.co/XFg1HIO6ZP",2
"Siap kemas rumah, now packing orders 🙂",2
@Ashsukamakan Best dan sedih 🙂,1
"Bila baca more sad stories about marriage… I always be like : “Ya Allah, semoga suami aku takkan buat perkara yg melukakan hati ni. Isteri-isteri yg berdepan dugaan ini semuanya kuat belaka. Aku belum tentu.” 😔",0
"&amp; i tell you once you ada mindest “DGAF” on something yg tak penting— hidup you tenang, minda you aman. Sbb tak serabut dgn benda tak perlu fikir. Nak cakap, nak kutuk? Go on. Selagi tak merosakkan pendapatan &amp; angka penyata bank aku, No Problem at all. Best woo mindset camni 😂",2
Dengar ada orang cuba burukkan I. Kenkadang gelak je. Idk why tp I rasa santai even mesti la ada rasa marah if orang bad mouth pasal kita kan? \n\nBut my energy now not for something negative anymore. Buang masa nak fikir why orang tak suka kita eh? Kita kurang kat mana? Asalkan—,1
Baru nak active jadi seller kat TT tapi mcm ramai orang hilang duit kat sana..  cm takowdt pulak 😔,0
Katanya fenomena duit hilang kat TTshop tu sbb bayar Free Shipping yg selama ni TT janjikan? Ugh kesiannya 😭 https://t.co/fTwxYRT8A2,0
@runningpanda_ Boleh! Nnti me share 😍🥰,2
@runningpanda_ Yeee laaaaa banyak kali tengok sampai tak tahu nak pilih yg mana. Tp long lasting yg poppin tu!,2
@runningpanda_ Cecomel packaging dia pastu best kan? Dah try lip matte die?,2
I rasa Dah TERACUN dgn Emina nih!! 🥹😍 https://t.co/fbdiXJqlSk,2
Orang dah tunang/kahwin… dah la. Ex buat cara Ex 😀,1
@zarzoubeautyHQ @itskameliahq @Maybelline Hehehehe ❤️❤️❤️❤️,2
@amyratalib Omg T20!! 🥹,2
@lunakylean Which chloe? Dia ada banyak!! And yes peminat chloe ni mmg ramaiii🥰,2
